State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.387096774193548,21.495854063018243,20.026666666666667,23.093959731543624
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.16759776536313,18.634340222575517,NA
Arizona,47.117747440273035,41.488154269972455,43.52243767313019,41.89301447451227,38.65731912507011,38.99168687218566,38.3854822671528,36.419304415787416,35.93019545273235,33.80396732788798,32.005662514156285,31.61301177790241,34.27432216905901,30.119144602851325,31.296819787985864,26.220580994583948,29.652941176470588
Arkansas,NA,NA,NA,NA,NA,NA,NA,22.88736263736264,19.838797814207652,18.84931506849315,21.80902777777778,21.115068493150684,23.766233766233768,22.013698630136986,20.041095890410958,19.423076923076923,20.274725274725274
California,29.993446392641562,30.484296499288035,28.783930956539606,27.579738455694827,26.361987871616623,24.52055584385631,25.066857828364103,23.675629028343355,23.72077384143073,22.838767507002803,21.960830324909747,21.74052493718929,19.635607624135,20.668453378001118,19.62805844041542,18.933560684489375,16.164363636363635
Colorado,32.75342465753425,48.03115264797508,37.9097605893186,40.935749588138385,39.886297376093296,42.67707317073171,42.23364485981308,41.503586800573885,38.67077344284736,30.61875,31.224056603773583,36.06750392464678,36.44721407624633,25.502857142857142,30.119482320314305,35.530680728667306,42.15985130111524
Connecticut,NA,NA,NA,NA,NA,NA,32.9593023255814,26.345724907063197,22.408040201005026,21.724333925399645,20.530586766541823,17.540451552210726,15.243925233644859,15.203107658157602,14.94508009153318,15.851680185399768,NA
Country Of Mexico,NA,NA,NA,NA,NA,NA,38.72216330858961,37.576190476190476,40.113110539845756,43.18518518518518,33.325905292479106,38.22222222222222,NA,NA,NA,NA,NA
Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.099206349206348,22.24516129032258,20.868217054263567,21.01005025125628,18.95022624434389,25.988095238095237
District Of Columbia,37.2967032967033,38.93409742120344,39.8,36.11357340720222,33.94230769230769,34.4171270718232,29.60821917808219,29.09037037037037,32.227777777777774,31.38121546961326,30.994505494505493,28.1441753171857,27.9567519858782,22.28091603053435,23.44496487119438,24.354009077155826,25.689655172413794
Florida,25.573033707865168,25.08936170212766,23.1267217630854,22.475138121546962,20.867977528089888,18.861495844875346,19.4,14.133058984910837,12.6734375,13.583333333333334,13.442896935933147,12.715068493150685,12.806010928961749,11.44225352112676,12.141666666666667,9.618233618233619,13.857142857142858
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.73913043478261,29.140495867768596,25.063273727647868,20.596541786743515,22.769662921348313,20.933526011560694,25.333333333333332
Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.791007493755204,8.26877761413844,9.5968992248062,8.338235294117647,8.722865412445731,NA
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,24.02777777777778,16.91304347826087,NA,NA,NA,NA,NA
Illinois,42.15482954545455,37.912269548633184,34.1542025148908,34.93217391304348,32.28087986463621,32.74734982332156,31.22603978300181,27.375327102803737,27.213995117982098,25.836727879799668,24.510276399716513,23.297520661157026,22.624242424242425,21.165079365079364,21.397769516728623,18.20337552742616,20.837988826815643
Indiana,31.74251497005988,30.837078651685392,33.4296875,30.921348314606742,28.034965034965033,29.58695652173913,24.304597701149426,23.246458923512748,20.684782608695652,20.073446327683616,20.360544217687075,20.494565217391305,22.366013071895424,19.44364012409514,21.040506329113924,23.509774436090225,23.969072164948454
Iowa,NA,NA,NA,NA,NA,NA,15.387096774193548,15.39386189258312,15.775460122699387,15.192982456140351,16.078381795195956,15.25499524262607,15.798561151079136,14.004591368227732,13.196180555555555,13.07986111111111,12.884615384615385
Kansas,18.80081300813008,19.412868632707774,17.16593886462882,18.307060755336618,18.69242658423493,20.859784283513097,22.64187866927593,27.10958904109589,28.654178674351584,24.42105263157895,25.739766081871345,25.074285714285715,24.90748898678414,23.564935064935064,22.946022727272727,22.923766816143498,24.165714285714287
