State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Mean,NO2 AQI,O3 Mean,O3 AQI,SO2 Mean,SO2 AQI,CO Mean,CO AQI,month,year,monthNO,monthO3,monthSO2,monthCO,total
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-01-01,19.041667,46,0.0225,34,3,13,1.145833,NA,01,2000,30.144315442125237,0.011827068311195446,2.8372897058823527,0.9192038406072106,33.912636056926
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-02-01,34.583333,52,0.018833,33,4.047619,21,1.3375,NA,02,2000,27.123565692307693,0.01628465072765073,2.5134010665280666,0.7029614594594594,30.35621286902287
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-03-01,33.869565,52,0.01725,36,2.086957,14,0.891304,NA,03,2000,23.08928104743833,0.023789225806451614,1.355763889943074,0.5150285578747628,24.98386272106262
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-04-01,26.833333,47,0.027792,43,1.076923,6,0.725,NA,04,2000,19.318056678431372,0.030959735294117646,1.3332038137254902,0.42597717647058825,21.10819740392157
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-05-01,3.791667,8,0.033417,90,3.285714,13,1.266667,NA,05,2000,17.210143064516128,0.03330285388994307,1.4629206356736242,0.4013627722960152,19.107729326375708
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-06-01,38.5,102,0.019917,35,2.25,7,0.595455,NA,06,2000,18.103307060416668,0.03092370625,1.4073188020833334,0.336946725,19.878496293750004
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-07-01,13.541667,40,0.031292,46,0.045455,1,0.495833,NA,07,2000,13.155441225806452,0.03440663508064516,1.1294050907258064,0.28058514717741934,14.599838098790322
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-08-01,22.416667,50,0.046333,93,0.208333,4,0.3125,NA,08,2000,15.433028957661291,0.0320175625,1.3878911028225807,0.3028592399193548,17.155796862903227
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-09-01,28.727273,41,0.009208,20,1.681818,11,0.954167,NA,09,2000,19.64584484375,0.02542075,1.7151444541666667,0.40255594375,21.788965991666664
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-10-01,21.458333,30,0.021167,36,0.375,3,0.408333,NA,10,2000,24.939844147177418,0.019176483870967743,1.7318373649193548,0.5852250322580645,27.276083028225806
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-11-01,34.958333,55,0.008333,18,1.125,7,1.233333,NA,11,2000,27.778637960416667,0.014179591666666666,2.0742197583333333,0.7679631395833333,30.635000450000003
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,2000-12-01,45.73913,58,0.00275,5,5.434783,16,2.317391,NA,12,2000,27.539772570564516,0.010685360887096774,2.585538133064516,0.8817855463709677,31.0177816108871
