State,Year,County,Pollutant Types,Average Pollution
Arizona,2000,Maricopa,NO2,55.17387218045113
Arizona,2000,Pima,NO2,34.76657060518732
California,2000,Contra Costa,NO2,22.593360995850624
California,2000,Imperial,NO2,43.329073482428115
California,2000,Kern,NO2,45.87719298245614
California,2000,Los Angeles,NO2,53.74357142857143
California,2000,Orange,NO2,33.612021857923494
California,2000,Riverside,NO2,37.017857142857146
California,2000,Sacramento,NO2,26.493203883495145
California,2000,San Bernardino,NO2,42.543103448275865
California,2000,San Diego,NO2,35.19052088221492
California,2000,San Francisco,NO2,30.357340720221607
California,2000,Santa Barbara,NO2,11.014563106796116
California,2000,Santa Cruz,NO2,10.685714285714285
California,2000,Solano,NO2,22.65934065934066
California,2000,Ventura,NO2,23.649655172413794
Colorado,2000,Adams,NO2,32.75342465753425
District Of Columbia,2000,District of Columbia,NO2,37.2967032967033
Florida,2000,Orange,NO2,25.573033707865168
Illinois,2000,Cook,NO2,42.15482954545455
Indiana,2000,Marion,NO2,31.74251497005988
Kansas,2000,Linn,NO2,6.891640866873065
Kansas,2000,Sumner,NO2,10.11111111111111
Kansas,2000,Wyandotte,NO2,31.28409090909091
Kentucky,2000,Boyd,NO2,28.95435684647303
Kentucky,2000,Daviess,NO2,21.542410714285715
Kentucky,2000,Fayette,NO2,25.82547169811321
Kentucky,2000,Henderson,NO2,33.64529914529915
Kentucky,2000,Jefferson,NO2,25.69887640449438
Kentucky,2000,McCracken,NO2,24.912017167381975
Louisiana,2000,East Baton Rouge,NO2,33.45628415300546
Michigan,2000,Wayne,NO2,39.324929971988794
Missouri,2000,Saint Louis,NO2,30.53953488372093
Missouri,2000,St. Louis City,NO2,36.5
New Jersey,2000,Camden,NO2,34.641562064156204
New York,2000,Bronx,NO2,41.87318087318087
New York,2000,Queens,NO2,40.48255813953488
New York,2000,Suffolk,NO2,29.141654978962134
North Carolina,2000,Forsyth,NO2,23.842105263157894
North Carolina,2000,Mecklenburg,NO2,32.177842565597665
Oklahoma,2000,Cherokee,NO2,14.09433962264151
Oklahoma,2000,Kay,NO2,12.477272727272727
Pennsylvania,2000,Allegheny,NO2,36.78
Pennsylvania,2000,Beaver,NO2,27.933962264150942
Pennsylvania,2000,Berks,NO2,31.43720930232558
Pennsylvania,2000,Blair,NO2,24.606635071090047
Pennsylvania,2000,Bucks,NO2,29.55363321799308
Pennsylvania,2000,Cambria,NO2,24.934579439252335
Pennsylvania,2000,Lackawanna,NO2,27.270531400966185
Pennsylvania,2000,Lancaster,NO2,23.194513715710723
Pennsylvania,2000,Lawrence,NO2,30.067307692307693
Pennsylvania,2000,Montgomery,NO2,29.669767441860465
Pennsylvania,2000,Northampton,NO2,25.50952380952381
Pennsylvania,2000,Philadelphia,NO2,39.836468885672936
Pennsylvania,2000,Washington,NO2,23.316279069767443
Pennsylvania,2000,Westmoreland,NO2,27.70232558139535
Pennsylvania,2000,York,NO2,29.781395348837208
Texas,2000,Dallas,NO2,35.21568627450981
Texas,2000,El Paso,NO2,31.870349492671927
Texas,2000,Harris,NO2,31.243243243243242
Virginia,2000,Fairfax,NO2,28.98725212464589
Virginia,2000,Alexandria City,NO2,35.45794392523364
Arizona,2001,Maricopa,NO2,46.9273693534101
Arizona,2001,Pima,NO2,32.53644314868804
California,2001,Alameda,NO2,36.22727272727273
California,2001,Contra Costa,NO2,22.810522810522812
California,2001,Imperial,NO2,35.71691792294807
California,2001,Kern,NO2,54.05
California,2001,Los Angeles,NO2,52.70398689240852
California,2001,Orange,NO2,28.160349854227405
California,2001,Riverside,NO2,39.728767123287675
California,2001,Sacramento,NO2,27.336309523809526
California,2001,San Bernardino,NO2,42.10474168435952
California,2001,San Diego,NO2,34.14055636896047
California,2001,San Francisco,NO2,29.604395604395606
California,2001,Santa Barbara,NO2,10.691538736165656
California,2001,Santa Cruz,NO2,10.643646408839778
California,2001,Solano,NO2,22.0974930362117
California,2001,Ventura,NO2,21.928571428571427
Colorado,2001,Adams,NO2,48.03115264797508
District Of Columbia,2001,District of Columbia,NO2,38.93409742120344
Florida,2001,Orange,NO2,25.08936170212766
Illinois,2001,Cook,NO2,42.80093676814988
Illinois,2001,Saint Clair,NO2,32.10570236439499
Indiana,2001,Marion,NO2,30.837078651685392
Kansas,2001,Linn,NO2,7.126801152737752
Kansas,2001,Sumner,NO2,12.875
Kansas,2001,Wyandotte,NO2,32.90962099125365
Kentucky,2001,Boyd,NO2,29.14516129032258
Kentucky,2001,Daviess,NO2,19.21276595744681
Kentucky,2001,Fayette,NO2,28.094017094017094
Kentucky,2001,Henderson,NO2,30.522267206477732
Kentucky,2001,Jefferson,NO2,25.192708333333332
Kentucky,2001,McCracken,NO2,23.753036437246962
Louisiana,2001,East Baton Rouge,NO2,32.7
Massachusetts,2001,Suffolk,NO2,35.215384615384615
Michigan,2001,Wayne,NO2,41.585034013605444
Missouri,2001,Saint Louis,NO2,30.255656108597286
Missouri,2001,St. Louis City,NO2,36.35
Nevada,2001,Clark,NO2,16.58695652173913
New Jersey,2001,Camden,NO2,35.907514450867055
New Jersey,2001,Essex,NO2,44.45021645021645
New York,2001,Bronx,NO2,44.28719723183391
New York,2001,Queens,NO2,41.725075528700906
New York,2001,Suffolk,NO2,30.281065088757398
North Carolina,2001,Forsyth,NO2,26.900763358778626
North Carolina,2001,Mecklenburg,NO2,31.01595744680851
